Title,Authors,URL,DOI,Published Date,Approach,Evidence Focus,Paper Title,Relevance,Summary
Two Heads Are Better Than One: A Multi-Agent System Has the Potential to Improve Scientific Idea Generation,"Haoyang Su, Renqi Chen, Shixiang Tang, Xinzhe Zheng, Jingzhe Li, Zhenfei Yin, Biqing Qi, Wanli Ouyang, Nanqing Dong",https://arxiv.org/pdf/2410.09403,10.48550/arXiv.2410.09403,2024,Multi-agent LLM system with role-based collaboration,"Novelty, feasibility, and collaborative idea quality",Two Heads Are Better Than One: A Multi-Agent System Has the Potential to Improve Scientific Idea Generation,Direct multi-agent versus single-agent motivation and evaluation of scientific idea generation; highly relevant to the comparison question.,"The rapid advancement of scientific progress requires innovative tools that can accelerate knowledge discovery. Although recent AI methods, particularly large language models (LLMs), have shown promise in tasks such as hypothesis generation and experimental design, they fall short of replicating the collaborative nature of real-world scientific practices, where diverse experts work together in teams to tackle complex problems. To address the limitations, we propose an LLM-based multi-agent system, i.e., Virtual Scientists (VirSci), designed to mimic the teamwork inherent in scientific research. VirSci organizes a team of agents to collaboratively generate, evaluate, and refine research ideas. Through comprehensive experiments, we demonstrate that this multi-agent approach outperforms the state-of-the-art method in producing novel scientific ideas. We further investigate the collaboration mechanisms that contribute to its tendency to produce ideas with higher novelty, offering valuable insights to guide future research and illuminating pathways toward building a robust system for autonomous scientific discovery. The code is available at https://github.com/open-sciencelab/Virtual-Scientists."
Many Heads Are Better Than One: Improved Scientific Idea Generation by A LLM-Based Multi-Agent System,"Haoyang Su, Renqi Chen, Shixiang Tang, Zhenfei Yin, Xinzhe Zheng, Jinzhe Li, Biqing Qi, Qi Wu, Hui Li, Wanli Ouyang, Philip H. S. Torr, Bowen Zhou, Nanqing Dong",https://aclanthology.org/2025.acl-long.1368.pdf,10.18653/v1/2025.acl-long.1368,2024,LLM-based multi-agent system,"Scientific idea quality, novelty, and feasibility",Many Heads Are Better Than One: Improved Scientific Idea Generation by A LLM-Based Multi-Agent System,Directly studies whether multiple LLM agents improve scientific idea generation over a single model.,"The rapid advancement of scientific progress requires innovative tools that can accelerate knowledge discovery. Although recent AI methods, particularly large language models (LLMs), have shown promise in tasks such as hypothesis generation and experimental design, they fall short of replicating the collaborative nature of real-world scientific practices, where diverse experts work together in teams to tackle complex problems. To address the limitations, we propose an LLM-based multi-agent system, i.e., Virtual Scientists (VirSci), designed to mimic the teamwork inherent in scientific research. VirSci organizes a team of agents to collaboratively generate, evaluate, and refine research ideas. Through comprehensive experiments, we demonstrate that this multi-agent approach outperforms the state-of-the-art method in producing novel scientific ideas. We further investigate the collaboration mechanisms that contribute to its tendency to produce ideas with higher novelty, offering valuable insights to guide future research and illuminating pathways toward building a robust system for autonomous scientific discovery. The code is available at https://github.com/open-sciencelab/Virtual-Scientists."
Exploring Design of Multi-Agent LLM Dialogues for Research Ideation,"Keisuke Ueda, Wataru Hirota, Takuto Asakura, Takahiro Omi, Kosuke Takahashi, Kosuke Arima, Tatsuya Ishigaki",https://www.semanticscholar.org/paper/bb8d7ca72cf8d4b73ad8bc6d05d9d781bde9b0b8,10.48550/arXiv.2507.08350,2025,Controlled multi-agent dialogue experiments,Novelty and feasibility across dialogue designs,Exploring Design of Multi-Agent LLM Dialogues for Research Ideation,"Directly compares agent roles, number of agents, and dialogue depth, making it useful for identifying when debate helps or fails.","Large language models (LLMs) are increasingly used to support creative tasks such as research idea generation. While recent work has shown that structured dialogues between LLMs can improve the novelty and feasibility of generated ideas, the optimal design of such interactions remains unclear. In this study, we conduct a comprehensive analysis of multi-agent LLM dialogues for scientific ideation. We compare different configurations of agent roles, number of agents, and dialogue depth to understand how these factors influence the novelty and feasibility of generated ideas. Our experimental setup includes settings where one agent generates ideas and another critiques them, enabling iterative improvement. Our results show that enlarging the agent cohort, deepening the interaction depth, and broadening agent persona heterogeneity each enrich the diversity of generated ideas. Moreover, specifically increasing critic-side diversity within the ideation-critique-revision loop further boosts the feasibility of the final proposals. Our findings offer practical guidelines for building effective multi-agent LLM systems for scientific ideation. Our code is available at https://github.com/g6000/MultiAgent-Research-Ideator."
Accelerating scientific discovery with Co-Scientist,"Juraj Gottweis, Wei-Hung Weng, A. Daryin, Tao Tu, Anil Palepu, Petar Sirkovic, Artiom Myaskovsky, Felix Weissenberger, Keran Rong, Ryutaro Tanno, Khaled Saab, D. Popovici, Jacob Blum, Fan Zhang, Katherine Chou, Avinatan Hassidim, Burak Gokturk, Amin Vahdat, Pushmeet Kohli, Y. Matias, A. Carroll, Kavita Kulkarni, Nenad Tomašev, Yuan Guan, Vikram Dhillon, E. D. Vaishnav, Byron Lee, Tiago R D Costa, José R. Penadés, Gary Peltz, Yunhan Xu, Annalisa Pawlosky, A. Karthikesalingam, Vivek Natarajan",https://arxiv.org/pdf/2502.18864,10.1038/s41586-026-10644-y,2025,Multi-agent scientific discovery system,"Originality, testability, and experimentally demonstrated discoveries",Accelerating scientific discovery with Co-Scientist,"Describes and evaluates a Gemini-based multi-agent system intended to generate original, testable research hypotheses and proposals.","Scientific discovery relies on scientists generating novel hypotheses that undergo rigorous experimental validation. To augment this process, we introduce an AI co-scientist, a multi-agent system built on Gemini 2.0. The AI co-scientist is intended to help uncover new, original knowledge and to formulate demonstrably novel research hypotheses and proposals, building upon prior evidence and aligned to scientist-provided research objectives and guidance. The system's design incorporates a generate, debate, and evolve approach to hypothesis generation, inspired by the scientific method and accelerated by scaling test-time compute. Key contributions include: (1) a multi-agent architecture with an asynchronous task execution framework for flexible compute scaling; (2) a tournament evolution process for self-improving hypotheses generation. Automated evaluations show continued benefits of test-time compute, improving hypothesis quality. While general purpose, we focus development and validation in three biomedical areas: drug repurposing, novel target discovery, and explaining mechanisms of bacterial evolution and anti-microbial resistance. For drug repurposing, the system proposes candidates with promising validation findings, including candidates for acute myeloid leukemia that show tumor inhibition in vitro at clinically applicable concentrations. For novel target discovery, the AI co-scientist proposed new epigenetic targets for liver fibrosis, validated by anti-fibrotic activity and liver cell regeneration in human hepatic organoids. Finally, the AI co-scientist recapitulated unpublished experimental results via a parallel in silico discovery of a novel gene transfer mechanism in bacterial evolution. These results, detailed in separate, co-timed reports, demonstrate the potential to augment biomedical and scientific discovery and usher an era of AI empowered scientists."
BioVerge: A Comprehensive Benchmark and Study of Self-Evaluating Agents for Biomedical Hypothesis Generation,"Fuyi Yang, Chenchen Ye, Mingyu Derek Ma, Yijiao Xiao, Matthew Y. R. Yang, Wei Wang",https://arxiv.org/pdf/2511.08866,10.48550/arXiv.2511.08866,2025,Benchmark and self-evaluating agents,Biomedical hypothesis quality and self-evaluation,BioVerge: A Comprehensive Benchmark and Study of Self-Evaluating Agents for Biomedical Hypothesis Generation,"Benchmark-oriented study of agentic and self-evaluating approaches, useful for comparing automated quality assessment with hypothesis generation.","Hypothesis generation in biomedical research has traditionally centered on uncovering hidden relationships within vast scientific literature, often using methods like Literature-Based Discovery (LBD). Despite progress, current approaches typically depend on single data types or predefined extraction patterns, which restricts the discovery of novel and complex connections. Recent advances in Large Language Model (LLM) agents show significant potential, with capabilities in information retrieval, reasoning, and generation. However, their application to biomedical hypothesis generation has been limited by the absence of standardized datasets and execution environments. To address this, we introduce BioVerge, a comprehensive benchmark, and BioVerge Agent, an LLM-based agent framework, to create a standardized environment for exploring biomedical hypothesis generation at the frontier of existing scientific knowledge. Our dataset includes structured and textual data derived from historical biomedical hypotheses and PubMed literature, organized to support exploration by LLM agents. BioVerge Agent utilizes a ReAct-based approach with distinct Generation and Evaluation modules that iteratively produce and self-assess hypothesis proposals. Through extensive experimentation, we uncover key insights: 1) different architectures of BioVerge Agent influence exploration diversity and reasoning strategies; 2) structured and textual information sources each provide unique, critical contexts that enhance hypothesis generation; and 3) self-evaluation significantly improves the novelty and relevance of proposed hypotheses."
HypoBench: Towards Systematic and Principled Benchmarking for Hypothesis Generation,"Haokun Liu, Sicong Huang, Jingyu Hu, Yangqiaoyu Zhou, Chenhao Tan",https://arxiv.org/pdf/2504.11524,10.48550/arXiv.2504.11524,2025,Multi-task benchmark with synthetic and real-world settings,"Utility, generalizability, and hypothesis discovery rate",HypoBench: Towards Systematic and Principled Benchmarking for Hypothesis Generation,"Provides a structured benchmark for comparing hypothesis-generation methods across practical utility, generalizability, and discovery rate.","There is growing interest in hypothesis generation with large language models (LLMs). However, fundamental questions remain: what makes a good hypothesis, and how can we systematically evaluate methods for hypothesis generation? To address this, we introduce HypoBench, a novel benchmark designed to evaluate LLMs and hypothesis generation methods across multiple aspects, including practical utility, generalizability, and hypothesis discovery rate. HypoBench includes 7 real-world tasks and 5 synthetic tasks with 194 distinct datasets. We evaluate four state-of-the-art LLMs combined with six existing hypothesis-generation methods. Overall, our results suggest that existing methods are capable of discovering valid and novel patterns in the data. However, the results from synthetic datasets indicate that there is still significant room for improvement, as current hypothesis generation methods do not fully uncover all relevant or meaningful patterns. Specifically, in synthetic settings, as task difficulty increases, performance significantly drops, with best models and methods only recovering 38.8% of the ground-truth hypotheses. These findings highlight challenges in hypothesis generation and demonstrate that HypoBench serves as a valuable resource for improving AI systems designed to assist scientific discovery."
Scientific hypothesis generation by large language models: laboratory validation in breast cancer treatment,"A. Abdel-Rehim, Hector Zenil, Oghenejokpeme I. Orhobor, M. Fisher, R. J. Collins, Elizabeth Bourne, Gareth W. Fearnley, Emma Tate, Holly X. Smith, L. Soldatova, Ross D. King",https://www.repository.cam.ac.uk/bitstreams/b3d57249-1b9e-4c9b-891f-117630b45000/download,10.1098/rsif.2024.0674,2024,LLM-generated hypotheses followed by experimental validation,"Novelty, validity, and laboratory usefulness",Scientific hypothesis generation by large language models: laboratory validation in breast cancer treatment,Important single-LLM baseline with laboratory validation; helps distinguish textual novelty from scientifically valid and experimentally useful hypotheses.,Large language models LLMs have transformed AI and achieved breakthrough performance on a wide range of tasks In science the most interesting application of LLMs is for hypothesis formation A feature of LLMs which results from their probabilistic structure is that the output text is not necessarily a valid inference from the training text These are termed hallucinations and are harmful in many applications In science some hallucinations may be useful novel hypotheses whose validity may be tested by laboratory experiments Here we experimentally test the application of LLMs as a source of scientific hypotheses using the domain of breast cancer treatment We applied the LLM GPT4 to hypothesize novel synergistic pairs of FDA-approved noncancer drugs that target the MCF7 breast cancer cell line relative to the nontumorigenic breast cell line MCF10A In the first round of laboratory experiments GPT4 succeeded in discovering three drug combinations out of twelve tested with synergy scores above the positive controls GPT4 then generated new combinations based on its initial results this generated three more combinations with positive synergy scores out of four tested We conclude that LLMs are a valuable source of scientific hypotheses.
Large Language Models as Biomedical Hypothesis Generators: A Comprehensive Evaluation,"Biqing Qi, Kaiyan Zhang, Kai Tian, Haoxiang Li, Zhangren Chen, Sihang Zeng, Ermo Hua, Jinfang Hu, Bowen Zhou",https://arxiv.org/pdf/2407.08940,10.48550/arXiv.2407.08940,2024,Systematic evaluation of LLM hypothesis generation,"Novelty, correctness, and biomedical hypothesis quality",Large Language Models as Biomedical Hypothesis Generators: A Comprehensive Evaluation,"Broad evaluation of single-model biomedical hypothesis generation, useful as a baseline for novelty and scientific quality.","The rapid growth of biomedical knowledge has outpaced our ability to efficiently extract insights and generate novel hypotheses. Large language models (LLMs) have emerged as a promising tool to revolutionize knowledge interaction and potentially accelerate biomedical discovery. In this paper, we present a comprehensive evaluation of LLMs as biomedical hypothesis generators. We construct a dataset of background-hypothesis pairs from biomedical literature, carefully partitioned into training, seen, and unseen test sets based on publication date to mitigate data contamination. Using this dataset, we assess the hypothesis generation capabilities of top-tier instructed models in zero-shot, few-shot, and fine-tuning settings. To enhance the exploration of uncertainty, a crucial aspect of scientific discovery, we incorporate tool use and multi-agent interactions in our evaluation framework. Furthermore, we propose four novel metrics grounded in extensive literature review to evaluate the quality of generated hypotheses, considering both LLM-based and human assessments. Our experiments yield two key findings: 1) LLMs can generate novel and validated hypotheses, even when tested on literature unseen during training, and 2) Increasing uncertainty through multi-agent interactions and tool use can facilitate diverse candidate generation and improve zero-shot hypothesis generation performance. However, we also observe that the integration of additional knowledge through few-shot learning and tool use may not always lead to performance gains, highlighting the need for careful consideration of the type and scope of external knowledge incorporated. These findings underscore the potential of LLMs as powerful aids in biomedical hypothesis generation and provide valuable insights to guide further research in this area."
Large Language Models are Zero Shot Hypothesis Proposers,"Biqing Qi, Kaiyan Zhang, Haoxiang Li, Kai Tian, Sihang Zeng, Zhangren Chen, Bowen Zhou",https://arxiv.org/pdf/2311.05965,10.48550/arXiv.2311.05965,2023,Zero-shot single-LLM prompting,Novelty and testability,Large Language Models are Zero Shot Hypothesis Proposers,"Foundational single-LLM paper testing whether models can propose novel, testable scientific hypotheses without task-specific training.","Significant scientific discoveries have driven the progress of human civilisation. The explosion of scientific literature and data has created information barriers across disciplines that have slowed the pace of scientific discovery. Large Language Models (LLMs) hold a wealth of global and interdisciplinary knowledge that promises to break down these information barriers and foster a new wave of scientific discovery. However, the potential of LLMs for scientific discovery has not been formally explored. In this paper, we start from investigating whether LLMs can propose scientific hypotheses. To this end, we construct a dataset consist of background knowledge and hypothesis pairs from biomedical literature. The dataset is divided into training, seen, and unseen test sets based on the publication date to control visibility. We subsequently evaluate the hypothesis generation capabilities of various top-tier instructed models in zero-shot, few-shot, and fine-tuning settings, including both closed and open-source LLMs. Additionally, we introduce an LLM-based multi-agent cooperative framework with different role designs and external tools to enhance the capabilities related to generating hypotheses. We also design four metrics through a comprehensive review to evaluate the generated hypotheses for both ChatGPT-based and human evaluations. Through experiments and analyses, we arrive at the following findings: 1) LLMs surprisingly generate untrained yet validated hypotheses from testing literature. 2) Increasing uncertainty facilitates candidate generation, potentially enhancing zero-shot hypothesis generation capabilities. These findings strongly support the potential of LLMs as catalysts for new scientific discoveries and guide further exploration."
Can ChatGPT be used to generate scientific hypotheses?,"Y. Park, Daniel Kaplan, Zhichu Ren, Chia-Wei Hsu, Changhao Li, Haowei Xu, Sipei Li, Ju Li",https://arxiv.org/pdf/2304.12208,10.48550/arXiv.2304.12208,2023,Single-LLM hypothesis generation and expert assessment,"Interestingness, testability, and factual error",Can ChatGPT be used to generate scientific hypotheses?,"Early empirical assessment of ChatGPT for scientific hypothesis generation, including the tension between interesting ideas and high error rates.","We investigate whether large language models can perform the creative hypothesis generation that human researchers regularly do. While the error rate is high, generative AI seems to be able to effectively structure vast amounts of scientific knowledge and provide interesting and testable hypotheses. The future scientific enterprise may include synergistic efforts with a swarm of""hypothesis machines"", challenged by automated experimentation and adversarial peer reviews."
